task_id	process	hash	name	status	start	complete	duration	%cpu	cpus	memory
17	accListDownloadProcess	67/61013b	accListDownloadProcess (17)	COMPLETED	2025-09-10 15:46:14.117	2025-09-10 15:46:30.096	16s	24.3%	8	12 GB
2	accListDownloadProcess	91/9c1106	accListDownloadProcess (2)	COMPLETED	2025-09-10 15:46:14.119	2025-09-10 15:46:30.343	16.3s	31.3%	8	12 GB
14	accListDownloadProcess	20/38322b	accListDownloadProcess (14)	COMPLETED	2025-09-10 15:46:30.196	2025-09-10 15:46:45.362	15.3s	24.9%	8	12 GB
18	accListDownloadProcess	41/81957d	accListDownloadProcess (18)	COMPLETED	2025-09-10 15:46:30.443	2025-09-10 15:46:47.494	17.1s	29.1%	8	12 GB
7	accListDownloadProcess	1b/589ddd	accListDownloadProcess (7)	COMPLETED	2025-09-10 15:46:45.462	2025-09-10 15:47:01.263	15.9s	28.4%	8	12 GB
19	accListDownloadProcess	1b/0827ad	accListDownloadProcess (19)	COMPLETED	2025-09-10 15:46:47.594	2025-09-10 15:47:03.629	16.1s	24.4%	8	12 GB
15	accListDownloadProcess	d4/4e7d18	accListDownloadProcess (15)	COMPLETED	2025-09-10 15:47:01.364	2025-09-10 15:47:18.053	16.8s	30.1%	8	12 GB
4	accListDownloadProcess	6d/3c3825	accListDownloadProcess (4)	COMPLETED	2025-09-10 15:47:03.729	2025-09-10 15:47:18.953	15.3s	29.5%	8	12 GB
12	accListDownloadProcess	b7/4c0777	accListDownloadProcess (12)	COMPLETED	2025-09-10 15:47:18.153	2025-09-10 15:47:32.826	14.8s	26.8%	8	12 GB
16	accListDownloadProcess	9a/8b05ba	accListDownloadProcess (16)	COMPLETED	2025-09-10 15:47:19.053	2025-09-10 15:47:36.348	17.4s	30.2%	8	12 GB
8	accListDownloadProcess	99/d20d56	accListDownloadProcess (8)	COMPLETED	2025-09-10 15:47:32.926	2025-09-10 15:47:50.537	17.7s	28.0%	8	12 GB
3	accListDownloadProcess	9f/2dd968	accListDownloadProcess (3)	COMPLETED	2025-09-10 15:47:36.448	2025-09-10 15:47:53.977	17.6s	25.9%	8	12 GB
9	accListDownloadProcess	8a/c5483d	accListDownloadProcess (9)	COMPLETED	2025-09-10 15:47:50.637	2025-09-10 15:48:25.172	34.6s	15.1%	8	12 GB
5	accListDownloadProcess	94/b3b646	accListDownloadProcess (5)	COMPLETED	2025-09-10 15:47:54.077	2025-09-10 15:48:27.496	33.5s	15.6%	8	12 GB
11	accListDownloadProcess	f8/780ca0	accListDownloadProcess (11)	COMPLETED	2025-09-10 15:48:25.273	2025-09-10 15:48:41.627	16.5s	30.5%	8	12 GB
10	accListDownloadProcess	6a/ae8af5	accListDownloadProcess (10)	COMPLETED	2025-09-10 15:48:27.596	2025-09-10 15:48:42.762	15.3s	28.4%	8	12 GB
20	accListDownloadProcess	5f/679afb	accListDownloadProcess (20)	COMPLETED	2025-09-10 15:48:41.728	2025-09-10 15:48:58.138	16.5s	25.4%	8	12 GB
6	accListDownloadProcess	5f/5ff66f	accListDownloadProcess (6)	COMPLETED	2025-09-10 15:48:42.862	2025-09-10 15:48:58.703	15.9s	27.7%	8	12 GB
1	accListDownloadProcess	c2/907f93	accListDownloadProcess (1)	COMPLETED	2025-09-10 15:48:58.803	2025-09-10 15:49:14.132	15.4s	28.5%	8	12 GB
13	accListDownloadProcess	31/28a81b	accListDownloadProcess (13)	COMPLETED	2025-09-10 15:48:58.238	2025-09-10 15:49:14.411	16.3s	30.1%	8	12 GB
25	accListDownloadProcess	07/e299e1	accListDownloadProcess (25)	COMPLETED	2025-09-10 15:49:14.511	2025-09-10 15:49:29.878	15.5s	24.0%	8	12 GB
21	accListDownloadProcess	bf/d34c03	accListDownloadProcess (21)	COMPLETED	2025-09-10 15:49:14.232	2025-09-10 15:49:31.537	17.4s	28.4%	8	12 GB
23	accListDownloadProcess	c2/323d8c	accListDownloadProcess (23)	COMPLETED	2025-09-10 15:49:29.978	2025-09-10 15:49:45.491	15.6s	28.1%	8	12 GB
24	accListDownloadProcess	bc/14d286	accListDownloadProcess (24)	COMPLETED	2025-09-10 15:49:31.637	2025-09-10 15:49:47.056	15.5s	26.4%	8	12 GB
22	accListDownloadProcess	0b/737d62	accListDownloadProcess (22)	COMPLETED	2025-09-10 15:49:45.591	2025-09-10 15:50:02.619	17.1s	30.9%	8	12 GB
43	accListDownloadProcess	64/722761	accListDownloadProcess (43)	COMPLETED	2025-09-10 15:49:47.157	2025-09-10 15:50:03.050	16s	26.7%	8	12 GB
29	accListDownloadProcess	b4/213fb8	accListDownloadProcess (29)	COMPLETED	2025-09-10 15:50:03.151	2025-09-10 15:50:18.286	15.2s	27.5%	8	12 GB
26	accListDownloadProcess	84/944f35	accListDownloadProcess (26)	COMPLETED	2025-09-10 15:50:02.719	2025-09-10 15:50:21.602	19s	31.8%	8	12 GB
28	accListDownloadProcess	ad/89ed26	accListDownloadProcess (28)	COMPLETED	2025-09-10 15:50:18.386	2025-09-10 15:50:34.422	16.1s	27.5%	8	12 GB
31	accListDownloadProcess	92/dc059f	accListDownloadProcess (31)	COMPLETED	2025-09-10 15:50:21.702	2025-09-10 15:50:39.121	17.5s	27.3%	8	12 GB
30	accListDownloadProcess	04/e12e4f	accListDownloadProcess (30)	COMPLETED	2025-09-10 15:50:34.522	2025-09-10 15:50:51.101	16.7s	26.7%	8	12 GB
27	accListDownloadProcess	df/2beb95	accListDownloadProcess (27)	COMPLETED	2025-09-10 15:50:39.221	2025-09-10 15:50:55.874	16.7s	28.4%	8	12 GB
34	accListDownloadProcess	d9/de1956	accListDownloadProcess (34)	COMPLETED	2025-09-10 15:50:51.201	2025-09-10 15:51:06.302	15.2s	25.6%	8	12 GB
32	accListDownloadProcess	23/c05653	accListDownloadProcess (32)	COMPLETED	2025-09-10 15:50:55.974	2025-09-10 15:51:12.577	16.7s	28.8%	8	12 GB
33	accListDownloadProcess	06/bc0ba2	accListDownloadProcess (33)	COMPLETED	2025-09-10 15:51:06.403	2025-09-10 15:51:22.101	15.8s	29.0%	8	12 GB
36	accListDownloadProcess	8b/5f5430	accListDownloadProcess (36)	COMPLETED	2025-09-10 15:51:12.677	2025-09-10 15:51:27.359	14.8s	26.6%	8	12 GB
35	accListDownloadProcess	c9/89e6ad	accListDownloadProcess (35)	COMPLETED	2025-09-10 15:51:22.202	2025-09-10 15:51:38.300	16.2s	28.5%	8	12 GB
37	accListDownloadProcess	02/2dea3a	accListDownloadProcess (37)	COMPLETED	2025-09-10 15:51:27.459	2025-09-10 15:51:43.615	16.3s	27.2%	8	12 GB
39	accListDownloadProcess	8e/1adecb	accListDownloadProcess (39)	COMPLETED	2025-09-10 15:51:38.401	2025-09-10 15:51:56.283	18s	27.8%	8	12 GB
40	accListDownloadProcess	a6/cc1da5	accListDownloadProcess (40)	COMPLETED	2025-09-10 15:51:43.716	2025-09-10 15:51:59.086	15.5s	26.9%	8	12 GB
41	accListDownloadProcess	4b/08a4e6	accListDownloadProcess (41)	COMPLETED	2025-09-10 15:51:56.383	2025-09-10 15:52:13.608	17.3s	31.0%	8	12 GB
38	accListDownloadProcess	be/6ea2e2	accListDownloadProcess (38)	COMPLETED	2025-09-10 15:51:59.186	2025-09-10 15:52:14.690	15.6s	25.6%	8	12 GB
46	accListDownloadProcess	f8/ed9785	accListDownloadProcess (46)	COMPLETED	2025-09-10 15:52:14.790	2025-09-10 15:52:29.926	15.2s	28.0%	8	12 GB
42	accListDownloadProcess	0f/cfebcc	accListDownloadProcess (42)	COMPLETED	2025-09-10 15:52:13.709	2025-09-10 15:52:36.308	22.7s	20.3%	8	12 GB
47	accListDownloadProcess	96/3ac44a	accListDownloadProcess (47)	COMPLETED	2025-09-10 15:52:30.026	2025-09-10 15:52:47.808	17.9s	30.7%	8	12 GB
44	accListDownloadProcess	9d/721656	accListDownloadProcess (44)	COMPLETED	2025-09-10 15:52:36.408	2025-09-10 15:52:53.674	17.4s	29.5%	8	12 GB
49	accListDownloadProcess	c6/074d16	accListDownloadProcess (49)	COMPLETED	2025-09-10 15:52:47.908	2025-09-10 15:53:04.444	16.6s	29.5%	8	12 GB
45	accListDownloadProcess	a6/b4f4ec	accListDownloadProcess (45)	COMPLETED	2025-09-10 15:52:53.774	2025-09-10 15:53:10.642	17s	29.9%	8	12 GB
48	accListDownloadProcess	24/9f09ef	accListDownloadProcess (48)	COMPLETED	2025-09-10 15:53:04.544	2025-09-10 15:53:21.754	17.3s	28.2%	8	12 GB
50	accListDownloadProcess	d8/1f64f7	accListDownloadProcess (50)	COMPLETED	2025-09-10 15:53:10.742	2025-09-10 15:53:26.251	15.6s	27.3%	8	12 GB
51	accListDownloadProcess	d1/0959c7	accListDownloadProcess (51)	COMPLETED	2025-09-10 15:53:21.854	2025-09-10 15:53:37.403	15.6s	29.5%	8	12 GB
56	accListDownloadProcess	e1/01d050	accListDownloadProcess (56)	COMPLETED	2025-09-10 15:53:37.503	2025-09-10 15:53:54.105	16.7s	27.0%	8	12 GB
52	accListDownloadProcess	6f/3666f2	accListDownloadProcess (52)	COMPLETED	2025-09-10 15:53:26.351	2025-09-10 15:54:05.013	38.8s	13.0%	8	12 GB
53	accListDownloadProcess	ef/54cfe5	accListDownloadProcess (53)	COMPLETED	2025-09-10 15:53:54.205	2025-09-10 15:54:10.075	16s	25.3%	8	12 GB
54	accListDownloadProcess	99/d06182	accListDownloadProcess (54)	COMPLETED	2025-09-10 15:54:05.113	2025-09-10 15:54:20.405	15.4s	27.7%	8	12 GB
55	accListDownloadProcess	ff/2f702f	accListDownloadProcess (55)	COMPLETED	2025-09-10 15:54:10.175	2025-09-10 15:54:26.991	16.9s	29.7%	8	12 GB
57	accListDownloadProcess	ac/2777f2	accListDownloadProcess (57)	COMPLETED	2025-09-10 15:54:20.505	2025-09-10 15:54:37.815	17.4s	29.3%	8	12 GB
58	accListDownloadProcess	bf/5eeece	accListDownloadProcess (58)	COMPLETED	2025-09-10 15:54:27.092	2025-09-10 15:54:50.315	23.3s	18.5%	8	12 GB
63	accListDownloadProcess	6c/937522	accListDownloadProcess (63)	COMPLETED	2025-09-10 15:54:37.915	2025-09-10 15:54:56.362	18.5s	34.2%	8	12 GB
59	accListDownloadProcess	1c/8a2f46	accListDownloadProcess (59)	COMPLETED	2025-09-10 15:54:50.415	2025-09-10 15:55:07.228	16.9s	30.1%	8	12 GB
60	accListDownloadProcess	9f/7bf7cd	accListDownloadProcess (60)	COMPLETED	2025-09-10 15:54:56.462	2025-09-10 15:55:13.772	17.4s	28.2%	8	12 GB
61	accListDownloadProcess	11/3f6339	accListDownloadProcess (61)	COMPLETED	2025-09-10 15:55:07.328	2025-09-10 15:55:25.194	18s	34.8%	8	12 GB
62	accListDownloadProcess	78/6f0899	accListDownloadProcess (62)	COMPLETED	2025-09-10 15:55:13.872	2025-09-10 15:55:27.995	14.2s	23.3%	8	12 GB
65	accListDownloadProcess	98/e0127e	accListDownloadProcess (65)	COMPLETED	2025-09-10 15:55:25.294	2025-09-10 15:55:42.711	17.5s	33.3%	8	12 GB
64	accListDownloadProcess	79/3b694a	accListDownloadProcess (64)	COMPLETED	2025-09-10 15:55:28.095	2025-09-10 15:55:43.754	15.8s	30.5%	8	12 GB
68	accListDownloadProcess	a5/d759dd	accListDownloadProcess (68)	COMPLETED	2025-09-10 15:55:42.811	2025-09-10 15:55:57.420	14.7s	23.6%	8	12 GB
66	accListDownloadProcess	ed/6f8f22	accListDownloadProcess (66)	COMPLETED	2025-09-10 15:55:43.854	2025-09-10 15:56:01.047	17.3s	31.0%	8	12 GB
67	accListDownloadProcess	e8/edb295	accListDownloadProcess (67)	COMPLETED	2025-09-10 15:55:57.520	2025-09-10 15:56:13.736	16.3s	26.9%	8	12 GB
70	accListDownloadProcess	56/2013e2	accListDownloadProcess (70)	COMPLETED	2025-09-10 15:56:01.147	2025-09-10 15:56:17.330	16.3s	27.6%	8	12 GB
71	fastqcRaw	e9/176500	fastqcRaw (1)	COMPLETED	2025-09-10 15:56:17.431	2025-09-10 15:56:22.250	4.9s	144.3%	8	12 GB
72	trimProcess	8d/27c71b	trimProcess (1)	COMPLETED	2025-09-10 15:56:22.350	2025-09-10 15:56:25.730	3.5s	100.4%	8	12 GB
69	accListDownloadProcess	3d/80c5d4	accListDownloadProcess (69)	COMPLETED	2025-09-10 15:56:13.836	2025-09-10 15:56:29.739	16s	28.1%	8	12 GB
73	fastqcRaw	d4/c11aa0	fastqcRaw (2)	COMPLETED	2025-09-10 15:56:25.830	2025-09-10 15:56:31.686	6s	136.2%	8	12 GB
74	trimProcess	fc/03811f	trimProcess (2)	COMPLETED	2025-09-10 15:56:29.840	2025-09-10 15:56:34.436	4.7s	101.3%	8	12 GB
76	fastqcRaw	65/ffaa1f	fastqcRaw (3)	COMPLETED	2025-09-10 15:56:31.786	2025-09-10 15:56:36.656	5s	146.0%	8	12 GB
75	trimProcess	2f/e82e53	trimProcess (3)	COMPLETED	2025-09-10 15:56:34.536	2025-09-10 15:56:37.973	3.5s	101.0%	8	12 GB
78	fastqcRaw	11/3fb213	fastqcRaw (4)	COMPLETED	2025-09-10 15:56:36.756	2025-09-10 15:56:41.557	4.9s	159.7%	8	12 GB
77	trimProcess	4f/df61c8	trimProcess (4)	COMPLETED	2025-09-10 15:56:38.073	2025-09-10 15:56:42.754	4.8s	100.7%	8	12 GB
80	trimProcess	c5/069180	trimProcess (5)	COMPLETED	2025-09-10 15:56:41.657	2025-09-10 15:56:45.764	4.2s	101.1%	8	12 GB
79	fastqcRaw	dc/abf8c7	fastqcRaw (5)	COMPLETED	2025-09-10 15:56:42.854	2025-09-10 15:56:47.698	4.9s	156.4%	8	12 GB
81	trimProcess	4f/548b7a	trimProcess (6)	COMPLETED	2025-09-10 15:56:45.864	2025-09-10 15:56:49.606	3.8s	101.2%	8	12 GB
82	fastqcRaw	10/136606	fastqcRaw (6)	COMPLETED	2025-09-10 15:56:47.798	2025-09-10 15:56:52.639	4.9s	153.4%	8	12 GB
83	fastqcRaw	1f/412928	fastqcRaw (7)	COMPLETED	2025-09-10 15:56:49.706	2025-09-10 15:56:54.555	4.9s	167.5%	8	12 GB
84	trimProcess	2f/e86b16	trimProcess (7)	COMPLETED	2025-09-10 15:56:52.739	2025-09-10 15:56:57.641	5s	100.7%	8	12 GB
86	trimProcess	a2/098229	trimProcess (8)	COMPLETED	2025-09-10 15:56:54.656	2025-09-10 15:56:59.210	4.7s	99.5%	8	12 GB
85	fastqcRaw	db/effd78	fastqcRaw (8)	COMPLETED	2025-09-10 15:56:57.741	2025-09-10 15:57:02.763	5.1s	166.7%	8	12 GB
88	fastqcRaw	56/37bdc9	fastqcRaw (9)	COMPLETED	2025-09-10 15:56:59.310	2025-09-10 15:57:04.150	4.9s	160.7%	8	12 GB
87	trimProcess	d5/0da490	trimProcess (9)	COMPLETED	2025-09-10 15:57:02.863	2025-09-10 15:57:06.332	3.6s	100.5%	8	12 GB
89	trimProcess	e6/e4161c	trimProcess (10)	COMPLETED	2025-09-10 15:57:04.250	2025-09-10 15:57:08.971	4.8s	100.4%	8	12 GB
90	fastqcRaw	1c/7fff40	fastqcRaw (10)	COMPLETED	2025-09-10 15:57:06.432	2025-09-10 15:57:11.213	4.9s	149.3%	8	12 GB
91	fastqcRaw	b0/7fbfa7	fastqcRaw (11)	COMPLETED	2025-09-10 15:57:09.071	2025-09-10 15:57:13.874	4.9s	153.0%	8	12 GB
92	trimProcess	42/5f1062	trimProcess (11)	COMPLETED	2025-09-10 15:57:11.313	2025-09-10 15:57:15.738	4.5s	100.4%	8	12 GB
93	fastqcRaw	37/a5db7c	fastqcRaw (12)	COMPLETED	2025-09-10 15:57:13.974	2025-09-10 15:57:18.742	4.9s	144.8%	8	12 GB
94	trimProcess	72/e39b06	trimProcess (12)	COMPLETED	2025-09-10 15:57:15.838	2025-09-10 15:57:20.000	4.3s	100.3%	8	12 GB
96	trimProcess	bc/4f3822	trimProcess (13)	COMPLETED	2025-09-10 15:57:18.843	2025-09-10 15:57:23.216	4.5s	100.5%	8	12 GB
95	fastqcRaw	2a/cd8020	fastqcRaw (13)	COMPLETED	2025-09-10 15:57:20.100	2025-09-10 15:57:24.871	4.9s	146.9%	8	12 GB
