OTU_ID;SRR29259889;SRR29259901;SRR29259892;SRR29259935;SRR29259910;SRR29259936;SRR29259937;SRR29259912;SRR29259907;SRR29259917;SRR29259902;SRR29259891;SRR29259903;SRR29259893;SRR29259906;SRR29259938;SRR29259900;SRR29259904;SRR29259888;SRR29259908;SRR29259951;SRR29259939;SRR29259945;SRR29259950;SRR29259940;SRR29259919;SRR29259894;SRR29259953;SRR29259896;SRR29259890;SRR29259954;SRR29259895;SRR29259899;SRR29259897;SRR29259898;SRR29259909;SRR29259905;SRR29259911;SRR29259914;SRR29259915;SRR29259916;SRR29259913;SRR29259922;SRR29259918;SRR29259923;SRR29259920;SRR29259925;SRR29259921;SRR29259924;SRR29259926;SRR29259927;SRR29259932;SRR29259928;SRR29259929;SRR29259930;SRR29259931;SRR29259933;SRR29259934;SRR29259946;SRR29259942;SRR29259941;SRR29259943;SRR29259944;SRR29259948;SRR29259947;SRR29259955;SRR29259952;SRR29259949;SRR29259956;SRR29259957
O001;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O002;832;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O003;1254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O004;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O005;1068;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O006;179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O007;1120;0;0;0;0;0;0;0;0;0;0;0;0;1459;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O008;119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O009;48;118;136;31;0;374;0;37;42;186;21;0;67;60;98;101;20;0;0;7;0;335;144;156;62;61;0;0;25;0;49;0;20;127;174;114;410;0;38;0;0;124;87;313;644;27;370;230;431;151;344;35;95;48;0;0;0;0;138;81;119;33;0;86;445;104;0;217;0;0
O010;1178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
