OTU_ID	SRR29259916	Taxon
f3128a3ad2918a621fb02a40f303b117	2	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales
80359d61d927dbdd8d5c013d1db14b66	3	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;s__
8f0eb4c37c5d0597a351d0ac2c72a9a1	30	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;s__
57f54fdc5c85adc06806c15be44ed442	81	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;s__
bfaf84dfdd60beb3b00ef28fa6d5d3a3	8	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;s__
142dd29c4c4ac4b1f1c76cdeb7f83db2	31	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;s__
78b967d9540561915c9eb094c1285d20	86	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;s__
d79e033d9a2536bfc2205ac91c41fbda	45	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;s__
993b29b2ccdb09e563235abb0f9851bb	75	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;s__
1bfed761c9bf1ce56728e990bda85f44	86	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;s__
635e6c6bc1d8caa36aae49040f0fd608	1570	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__
3c8532c9701e239d5226833fd07cc341	1327	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__
ab84e4b30372d96f23f3517c16f7013a	72	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__
d498b25ca34683c05a749d0e94d367b0	41	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__
8348bb33c13e8e894c6e6ced04752f3d	67	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Lentimicrobiaceae;g__Lentimicrobium;s__
